1	NUM	1
Quaffle	NSG	Quaffle
(	_	(
volleyball	NSG	volleyball
,	_	,
Frisbee	NSG	Frisbee
,	_	,
soccer	NSG	soccer
ball	NSG	ball
,	_	,
etc	_	etc
.	_	.
)	_	)

So	ADV	so
in	ADP	in
a	DETINDF	a
way	NSG	way
people	NPL	people
often	ADV	often
do	VPRSFININD	do
n't	PARTNEG	n't
know	VNFIN	know
how	CONJ	how
to	PART	to
combine	VNFIN	combine
the	DETDEF	the
two	NUM	two
fields	NPL	field
.	_	.

Everything	NSG	Everything
is	VSGPRSIND3FIN	be
white	ADJ	white
and	CONJ	and
hospital-like	ADJ	hospital-like
but	CONJ	but
there	PRO	there
’s	VSGPRSIND3FIN	be
no	DETNEG	no
examining	NSG	examining
couch	NSG	couch
.	_	.

So	ADV	so
ultimately	ADV	ultimately
I	PRONOMSG1	I
decided	VPSTFININD	decide
that	CONJ	that
eHow	PROPNSG	eHow
's	PART	's
model	NSG	model
would	VFIN	would
not	PARTNEG	not
build	VNFIN	build
the	DETDEF	the
resource	NSG	resource
I	PRONOMSG1	I
envisioned	VPSTFININD	envision
.	_	.

It	PRONOMNEUTSG3	it
was	VSGINDFIN3PST	be
n’t	PARTNEG	n't
as	ADV	as
loud	ADJ	loud
as	ADP	as
my	PROSG1	my
heels	NPL	heel
.	_	.

Your	PRO2	your
reserve	NSG	reserve
chute	NSG	chute
should	VFIN	should
have	VNFIN	have
been	VV.PTCPPST	be
packed	VV.PTCPPST	pack
by	ADP	by
a	DETINDF	a
certified	ADJ	certified
rigger	NSG	rigger
and	CONJ	and
is	VSGPRSIND3FIN	be
moderately	ADV	moderately
less	ADVCMPR	less
likely	ADJ	likely
to	PART	to
fail	VNFIN	fail
;	_	;

This	PROSG	this
will	VFIN	will
make	VNFIN	make
grammar	NSG	grammar
much	ADV	much
easier	ADJCMPR	easy
to	PART	to
make	VNFIN	make
.	_	.

The	DETDEF	the
current	ADJ	current
study	NSG	study
will	VFIN	will
contribute	VNFIN	contribute
to	ADP	to
the	DETDEF	the
development	NSG	development
of	ADP	of
further	ADJCMPR	further
qualitative	ADJ	qualitative
and	CONJ	and
quantitative	ADJ	quantitative
research	NSG	research
that	PRO	that
will	VFIN	will
more	ADV	more
clearly	ADV	clearly
define	VNFIN	define
the	DETDEF	the
information	NSG	information
behaviors	NPL	behavior
of	ADP	of
the	DETDEF	the
transmedia	NSG	transmedia
fan	NSG	fan
.	_	.

Dance	VNFIN	dance
to	ADP	to
the	DETDEF	the
elevator	NSG	elevator
music	NSG	music
.	_	.

Otto	PROPNSG	Otto
Jespersen	PROPNSG	Jespersen

'	_	'
aviatio	_	aviatio
'	_	'
comes	VSGPRSIND3FIN	come
from	ADP	from
English	PROPNSG	English
.	_	.

1/2	NUM	@card@
cup	NSG	cup
(	_	(
120	NUM	@card@
ml	NSG	ml
)	_	)
vegetable	NSG	vegetable
oil	NSG	oil

We	PRONOMPL1	we
hypothesized	VPSTFININD	hypothesize
that	CONJ	that
the	DETDEF	the
children	NPL	child
,	_	,
who	PRO	who
were	VPSTFININD	be
over	ADP	over
the	DETDEF	the
age	NSG	age
of	ADP	of
six	NUM	six
at	ADP	at
the	DETDEF	the
time	NSG	time
of	ADP	of
collection	NSG	collection
,	_	,
would	VFIN	would
have	VNFIN	have
adult-like	ADJ	adult-like
SI	NSG	SI
interpretations	NPL	interpretation
.	_	.

Do	VNFIN	do
you	PRONOM2	you
remember	VNFIN	remember
?	_	?

In	ADP	in
1891	NUM	@card@
she	PRONOMFEMSG3	she
met	VPSTFININD	meet
her	PROFEMSG3	her
future	ADJ	future
advisor	NSG	advisor
who	PRO	who
would	VFIN	would
help	VNFIN	help
,	_	,
she	PRONOMFEMSG3	she
assumed	VPSTFININD	assume
,	_	,
this	DETSG	this
poet-turned-fiction-writer	NSG	poet-turned-fiction-writer
and	CONJ	and
connect	VNFIN	connect
her	PROACCFEMSG3	her
with	ADP	with
editors	NPL	editor
:	_	:
Tosui	PROPNSG	Tosui
Nakarai	PROPNSG	Nakarai
.	_	.

"	_	"
Barn	NSG	barn
cats	NPL	cat
"	_	"
may	VFIN	may
not	PARTNEG	not
be	VNFIN	be
socialized	VV.PTCPPST	socialize
well	ADV	well
with	ADP	with
humans	NPL	human
,	_	,
although	CONJ	although
used	VV.PTCPPST	use
to	PART	to
hunting	VV.MSDR	hunting
mice	NPL	mouse
for	ADP	for
food	NSG	food
.	_	.

They	PRONOMPL3	they
could	VFIN	could
also	ADV	also
use	VNFIN	use
regular-length	NSG	regular-length
hockey	NSG	hockey
sticks	NPL	stick
to	PART	to
hit	VNFIN	hit
bludgers	NPL	bludgers
(	_	(
perhaps	ADV	perhaps
wiffle	NSG	wiffle
balls	NPL	ball
)	_	)
on	ADP	on
the	DETDEF	the
ground	NSG	ground
.	_	.

Method	NSG	method
1	NUM	1
of	ADP	of
2	NUM	2
:	_	:
From	ADP	from
Seeds	NPL	Seeds

I	PRONOMSG1	I
'm	VPRSFININD	be
like	ADJ	like
,	_	,
‘	_	'
Are	VPRSFININD	be
you	PRONOM2	you
insane	ADJ	insane
?	_	?

The	DETDEF	the
Independent	PROPNSG	Independent
reported	VPSTFININD	report
self-medicating	V.MSDRV	self-medicating
ants	NPL	ant
a	DETINDF	a
first	ADJ	first
among	ADP	among
insects	NPL	insect
.	_	.

It	PRONOMNEUTSG3	it
is	VSGPRSIND3FIN	be
a	DETINDF	a
hub	NSG	hub
for	ADP	for
American	PROPNSG	American
Airlines	PROPNPL	Airlines
and	CONJ	and
Southwest	PROPNSG	Southwest
Airlines	PROPNPL	Airlines
.	_	.

The	DETDEF	the
history	NSG	history
of	ADP	of
values	NPL	value
is	VSGINDPRSFIN3	be
okay	ADJ	okay
because	CONJ	because
wisdom	NSG	wisdom
is	VSGINDPRSFIN3	be
ageless	ADJ	ageless
;	_	;
it	PRONOMNEUTSG3	it
does	VSGINDPRSFIN3	do
n’t	PART	n't
grow	VNFIN	grow
old	ADJ	old
,	_	,
like	ADP	like
material	NSG	material
.	_	.

Drink	VNFIN	drink
responsibly	ADV	responsibly
.	_	.

1	NUM	1
tablespoon	NSG	tablespoon
(	_	(
15	NUM	@card@
ml	NPL	ml
)	_	)
apple	NSG	apple
cider	NSG	cider
vinegar	NSG	vinegar

And	CONJ	and
having	V.MSDRV	have
one	NUM	one
of	ADP	of
those	PROPL	those
is	VSGPRSIND3FIN	be
usually	ADV	usually
indicative	ADJ	indicative
of	ADP	of
arrogance	NSG	arrogance
.	_	.

Jespersen	PROPNSG	Jespersen
was	VSGINDPST3FIN	be
a	DETINDF	a
proponent	NSG	proponent
of	ADP	of
phonosemanticism	NSG	phonosemanticism
and	CONJ	and
wrote	VPSTFININD	write
:	_	:

but	CONJ	but
more	ADV	more
than	ADP	than
anything	NSG	anything
,	_	,
there	PRO	there
's	VSGPRSIND3FIN	be
a	DETINDF	a
lot	NSG	lot
of	ADP	of
good	ADJ	good
feeling	NSG	feeling
around	ADP	around
here	ADV	here
.	_	.

Please	INTJ	Please
note	VNFIN	note
that	CONJ	that
if	CONJ	if
departing	V.MSDRV	depart
from	ADP	from
Europe	PROPNSG	Europe
(	_	(
this	PROSG	this
may	VFIN	may
apply	VNFIN	apply
to	ADP	to
other	ADJ	other
countries	NPL	country
)	_	)
,	_	,
you	PRONOM2	you
will	VFIN	will
require	VNFIN	require
to	PART	to
have	VNFIN	have
the	DETDEF	the
visa	NSG	visa
before	CONJ	before
boarding	V.MSDRV	board
the	DETDEF	the
plane	NSG	plane
.	_	.

and	CONJ	and
...	_	...
(	_	(
how	CONJ	how
do	VFININDPRS	do
I	PRONOMSG1	I
best	ADJRL	good
explain	VNFIN	explain
this	PROSG	this
?	_	?
)	_	)

Rick	PROPNSG	Rick
Santorum	PROPNSG	Santorum
himself	PROMASCSG3	himself
has	VSGPRSIND3FIN	have
acknowledged	VV.PTCPPST	acknowledge
and	CONJ	and
discussed	VV.PTCPPST	discuss
the	DETDEF	the
existence	NSG	existence
and	CONJ	and
prevalence	NSG	prevalence
of	ADP	of
the	DETDEF	the
santorum	NSG	santorum
neologism	NSG	neologism
phenomenon	NSG	phenomenon
;	_	;
he	PRONOMMASCSG3	he
was	VSGPSTIND3FIN	be
quoted	VV.PTCPPST	quote
by	ADP	by
The	DETDEF	the
Canadian	PROPNSG	Canadian
Press	PROPNSG	Press
on	ADP	on
his	PROMASCSG3	his
assessment	NSG	assessment
of	ADP	of
Google	PROPNSG	Google
's	PART	's
response	NSG	response
;	_	;

In	ADP	in
the	DETDEF	the
1960s	NPL	1960s
Hadid	PROPNSG	Hadid
attended	VPSTFININD	attend
boarding	V.MSDRV	board
schools	NPL	school
in	ADP	in
England	PROPNSG	England
and	CONJ	and
Switzerland	PROPNSG	Switzerland
.	_	.

This	PROSG	this
is	VSGPRSIND3FIN	be
called	VV.PTCPPST	call
"	_	"
bolting	V.MSDRV	bolt
"	_	"
and	CONJ	and
is	VSGPRSIND3FIN	be
more	ADV	more
likely	ADJ	likely
to	PART	to
happen	VNFIN	happen
when	CONJ	when
there	PRO	there
's	VSGPRSIND3FIN	be
extra	ADJ	extra
sunshine	NSG	sunshine
.	_	.

On	ADP	on
NATO	PROPNSG	NATO

I	PRONOMSG1	I
do	VFININDPRS	do
n't	PARTNEG	n't
have	VNFIN	have
enough	ADJ	enough
information	NSG	information
to	PART	to
answer	VNFIN	answer
this	DETSG	this
question	NSG	question
,	_	,
one	NUM	one
way	NSG	way
or	CONJ	or
the	DETDEF	the
other	ADJ	other
.	_	.

In	ADP	in
the	DETDEF	the
past	ADJ	past
Muggle	NSG	Muggle
Quidditch	NSG	Quidditch
has	VSGPRSIND3FIN	have
mainly	ADV	mainly
been	VV.PTCPPST	be
played	VV.PTCPPST	play
at	ADP	at
colleges	NPL	college
in	ADP	in
the	DETDEF	the
US	PROPNSG	US
,	_	,
but	CONJ	but
over	ADP	over
the	DETDEF	the
last	ADJ	last
few	ADJ	few
