Son	ADJ	son
günlerinde	PSS3SESS3PLN	gün
kravat	SGNOMN3	kravat
takardı	INDPSTPOS3SGHABV	tak
.	_	.

Kadehler	NOMPLN3	kadeh
onun	PROGEN3SG	o
şerefine	PSS3S3DATSGN	şeref
kalktı	INDPSTPOS3PFVSGV	kalk
.	_	.

Epey	ADV	epey
iş	NOMN3SG	iş
yaptılar	PFVPSTVINDPL3POS	yap
.	_	.

Memura	SGDATN3	memur
ikibinüç'te	NUMESS3SG	ikibinüç
Deppler	SGNOMPROPN3	Deppler
geçmiş	ADJ	geçmiş
IMF	NOM3SGN	Imf
enflasyona	SGDATN3	enflasyon
göre	ADP	göre
zam	SGNOMN3	zam
sözü	PSS3SNOM3SGN	söz
.	_	.

Şimdi	ADV	şimdi
adımlarını	PSS3SACCPL3N	adım
daha	ADV	daha
da	CONJ	da
hızlandırmıştı	PFVVINDSG3PST+PRFCAUSPOS	hızlan
.	_	.

Korkunç	ADJ	korkunç
düşlerle	3NINSPL	düş
dolu	ADJ	dolu
bir	NUM	bir
uykuya	3NDATSG	uyku
sürüklenmek	PASSV.MSDRPFVPRSNOMVINDPOS	sürükle
üzere	ADP	üzere
ydim	1PFVVPSTINDSG	i
.	_	.

Ben	1PRONOMSG	ben
yavrumdan	PSS1SAT+ABLADJSG3	yavru
nasıl	ADV	nasıl
ayrılırım	1HABPRSVINDSGPOS	ayrıl
?	_	?
Onu	PROACCSG3	o
nerelere	3PLDATPRO	nere
gönderirim	1HABPRSVINDSGPOS	gönder
?	_	?
diye	ADP	diye
adamın	3NSGGEN	adam
ayaklarına	PSS3PPL3NDAT	ayak
kapanmış	PASSPFVPSTVNFHINDSG3POS	kapa
zavallı	ADJ	zavallı
kadın	NOMADJ3SG	kadın
.	_	.

Abim	PSS1SNOM3SGN	abi
yiyecek	SGNOMADJ3	yiyecek
bir	NUM	bir
şeyler	NOMPLN3	şey
getirmiştir	NFHPSTPOS3PFVSGV	getir
,	_	,
herhalde	ADV	herhalde
.	_	.

Hacim	SG3NNOM	hacim
siz	ADP	siz
ve	CONJ	ve
sıkışık	ADJ	sıkışık
seanslar	3PLNNOM	seans
geçiren	POSPRSINDPFVVV.PTCP	geçir
borsa	SG3NNOM	borsa
umudunu	PSS3S3SGNACC	umut
seçim	SG3NNOM	seçim
sonrasına	PSS3SDAT3SGN	sonra
bağlamış	PSTPOSINDPFVVV.PTCPNFH	bağla
görünüyor	3POSINDPRSINFMSGPROGV	görün
.	_	.

Ne	SGPRONOM3	ne
oluyorsun	INFM2INDPOSPRSSGPROGV	ol
?	_	?
diye	ADP	diye
sordu	INDPSTPOS3PFVSGV	sor
.	_	.

Çoğu	PSS3SNOMADJSG3	çok
,	_	,
çok	ADJ	çok
kere	NOMN3SG	kere
beni	1PROACCSG	ben
daha	ADV	daha
çok	ADV	çok
falan	NOMADJ3SG	falan
filan	ADJ	filan
bulurlarmış	HABPSTNFHVINDPL3POS	bul
.	_	.

Ben	1PRONOMSG	ben
de	CONJ	de
onu	PROACCSG3	o
dövdüm	1PFVPSTVINDSGPOS	döv
.	_	.

Benim	1PROSGGEN	ben
gibi	ADP	gibi
yüksek	ADJ	yüksek
tansiyonu	3NACCSG	tansiyon
olanlar	PFVPRSNOMVINDPLV.PTCP3POS	ol
tuzsuz	ADJ	tuzsuz
da	CONJ	da
yer	PFVPRS2VSGIMPPOS	yer
.	_	.

Uy	2POSIMPPRSPFVSGV	uy
,	_	,
sevsinler	POSIMP3PRSPFVPLV	sev
seni	PROACC2SG	sen
!	_	!

Oğlunuza	PSS2PSG3NDAT	oğul
sarıldığınızda	PSS2PPASSPOSPFVPSTVINDV.PTCPESS	sar
,	_	,
aklınızdan	PSS2PAT+ABLSG3N	akıl
,	_	,
Ya	CONJ	ya
bu	PRONOMSG3	bu
ona	PROSG3DAT	o
son	ADJ	son
sarılışım	PSS1SNOMSG3N	sarılış
sa	CONDPFVPRSVSG3	i
gibi	ADP	gibi
aptalca	ADV	aptalca
bir	NUM	bir
düşünce	NOMN2SG	düşünce
geçiyor	INFMPRSVINDPROGSG3POS	geç
.	_	.

Nerede	3ESSPROSG	nere
siniz	PFVPRS2VINDPL	i
oğlum	PSS1SNOMSG3N	oğul
?	_	?
dedi	PFVPSTVINDSG3POS	de
bağırarak	PFVPRSVINDPOSV.CVB	bağır
.	_	.

Tüzmen	NOMPROPN3SG	Tüzmen
,	_	,
işadamlarının	PSS3PPL3NGEN	işadamı
"	_	"
Çinliler	NOMADJPL3	Çinli
pazarlarımızı	PSS1PACCPL3N	pazar
ele	3NDATSG	el
geçiriyor	INFMPRSVINDPROGSG3POS	geçir
"	_	"
sözleri	PSS3PNOMPL3N	söz
üzerine	PSS3SSG3NDAT	üzer
de	CONJ	de
,	_	,
"	_	"
Pazar	NOMPROPN3SG	Pazar
herkese	3NDATSG	herkes
yeter	HABPRSVINDSG3POS	yet
"	_	"
dedi	PFVPSTVINDSG3POS	de
.	_	.

Acı	ADJ	acı
patlıcanı	3NACCSG	patlıcan
kırağı	NOMN3SG	kırağı
çalmaz	NEGHABPRSVINDSG3	çal
.	_	.

Kara	ADJ	kara
sevda	NOMN3SG	sevda
...	_	...

Masal	SG3NNOM	masal
da	CONJ	da
burada	SGESSPRO3	bura
bitmiş	PST3POSINDSGPFVVNFH	bit
.	_	.

Faranjiti	PSS3SNOM3PROPNSG	Faranjit
var	2POSIMPPRSPFVSGV	var
,	_	,
kötü	ADJ	kötü
öksürtüyor	INFMCAUSINDPOS3PRSSGPROGV	öksür
,	_	,
içmesin	NEGIMP3PRSPFVSGV	iç
o	PRONOM3SG	o
.	_	.

Ne	SG3PRONOM	ne
dedi	PST3POSINDSGPFVV	de
biliyor	3POSINDPRSINFMSGPROGV	bil
