Igandean	NSGDEFINANIN+ESS	igande
,	_	,
gosaldu	VV.PTCP	gosaldu
ondoren	ADV	ondoren
itzuliko	VV.PTCPPROSP	itzuli
dira	VARGAB3PIND	izan
Iruñera	PROPNSGDEFAT+ALL	Iruñea
,	_	,
eta	CONJ	eta
Berrioplanoko	PROPNESSSGDEF	Berrioplano
El	_	El
Toro	PROPN	Toro
hotelean	NSGDEFIN+ESS	hotel
jarraituko	VV.PTCPPROSP	jarraitu
dute	VARGAB3SARGER3PIND	*edun
kontzentrazioa	NABSSGDEF	kontzentrazio
,	_	,
partidua	NABSSGDEFINAN	partidu
jokatzeko	VESS	jokatu
ordua	NABSSGDEFINAN	ordu
heldu	VV.PTCP	heldu
arte	NABSINANINDF	arte
.	_	.

Osasun	N	osasun
publikoan	ADJSGIN+ESSDEF	publiko
eta	CONJ	eta
erretiroko	NESSSGINANDEF	erretiro
pentsioetan	NPLINANIN+ESSDEF	pentsio
ere	CONJ	ere
aurreikusita	VV.PTCP	aurreikusi
dago	VARGAB3SPROGIND	egon
oinarrizko	ADJ	oinarrizko
erreformak	NABSPLDEF	erreforma
egitea	VABS	egin
.	_	.

Kurba	N	kurba
hauei	DETDATPLDEF	hauek
begiratzeak	VERGSGDEF	begiratu
funtzionamendua	NABSSGDEF	funtzionamendu
ulertzen	VIN+ESS	ulertu
lagunduko	VV.PTCPPROSP	lagundu
digu	VARGDA1PARGER3SARGAB3SIND	*edun
.	_	.

Hala	ADV	hala
ondorioztatu	VV.PTCPPFV	ondorioztatu
zuen	VARGAB3SARGER3SIND	*edun
atzo	ADV	atzo
Eduardo	PROPN	Eduardo
Stein	PROPN	Stein
Guatemalako	PROPNESSSGDEF	Guatemala
Atzerri	N	atzerri
ministro	N	ministro
ohi	ADJ	ohi
eta	CONJ	eta
OEA	NABSSGDEF	ohe
Amerikako	PROPNESSSGDEF	Amerika
Estatuen	NGENPLDEF	estatu
Erakundearen	NGENSGINANDEF	erakunde
Peruko	PROPNESSSGDEF	Peru
bozetarako	NESSPLINANDEF	boz
misioko	NESSSGINANDEF	misio
buruzagiak	NERGSGANIMDEF	buruzagi
.	_	.

Negoziazio	N	negoziazio
horiek	DETERGPLDEF	horiek
irailean	NSGIN+ESSDEFINAN	irail
bukatu	VV.PTCP	bukatu
beharra	NABSSGDEFINAN	behar
daukate	VARGER3PARGAB3SPROGIND	eduki
Estatu	N	estatu
palestinarraren	ADJGENSGDEF	palestinar
aldarrikapenarekin	NCOMSGDEF	aldarrikapen
.	_	.

Andra	PROPN	Andra
Mari	PROPN	Mari
Zuriaren	PROPNGENSGDEF	Zuria
txapelketan	NSGINANIN+ESSDEF	txapelketa
,	_	,
aldiz	CONJ	aldiz
,	_	,
finalerdietan	NPLINANIN+ESSDEF	finalerdi
gurutzatuko	VV.PTCPPROSP	gurutzatu
dira	VARGAB3PIND	izan
,	_	,
lehenbizikoz	ADV	lehenbizikoz
.	_	.

Istiluak	NABSPLINANDEF	istilu
areagotu	VV.PTCP	areagotu
egin	VV.PTCPPFV	egin
ziren	VARGAB3PIND	izan
atzo	ADV	atzo
Israelgo	PROPNESSSGDEF	Israel
Armadak	NERGSGDEF	armada
eta	CONJ	eta
PANek	PROPNERGSGDEF	PAN
hartutako	VV.PTCPESS	hartu
erabakia	NABSSGDEF	erabaki
jakin	VV.PTCP	jakin
aurretik	NSGINANAT+ABLDEF	aurre
.	_	.

Iñaki	PROPN	Iñaki
Rekarte	PROPN	Rekarte
presoak	NERGSGDEF	preso
gutun	N	gutun
bat	NUM	bat
igorri	VV.PTCPPFV	igorri
du	VARGAB3SARGER3SIND	*edun
isolamenduan	NSGIN+ESSDEF	isolamendu
jasaten	VNFINIPFV	jasan
dituen	VARGAB3PARGER3SIND	*edun
"	_	"
presio	N	presio
eta	CONJ	eta
kontrolak	NABSPLINANDEF	kontrol
"	_	"
salatuz	VV.PTCPINSINDF	salatu
.	_	.

Orain	ADV	orain
atseden	NABSINDF	atseden
hartuko	VV.PTCPPROSP	hartu
dut	VARGAB3SARGER1SIND	*edun
lesioa	NABSSGDEF	lesio
gainditzeko	VESS	gainditu
helburuarekin	NCOMSGINANDEF	helburu
.	_	.

Epe	N	epe
honetan	DETSGIN+ESSDEF	hau
,	_	,
behin	ADV	behin
betiko	ADV	betiko
hitzarmen	N	hitzarmen
bat	NUM	bat
sinatu	VV.PTCP	sinatu
behar	NABSINDF	behar
dute	VARGAB3SARGER3PPROGIND	ukan
bi	NUM	bi
aldeek	NERGPLINANDEF	alde
,	_	,
horrela	ADV	horrela
Oslon	PROPNSGIN+ESSDEF	Oslo
hasitako	VV.PTCPESS	hasi
prozesua	NABSSGINANDEF	prozesu
bukatzeko	VABSINDF	bukatu
.	_	.

Lakerseko	PROPNESSSGDEF	Lakers
entrenatzaile	N	entrenatzaile
Phil	PROPN	Phil
Jackson	PROPNABSSGDEF	Jackson
haserre	ADV	haserre
agertu	VV.PTCPPFV	agertu
zen	VARGAB3SIND	izan
,	_	,
ordea	CONJ	ordea
,	_	,
bere	DETGENSG	bera
ustez	NINSINANINDF	uste
partidu	N	partidu
bateko	NUM	bat
zigorra	NABSSGINANDEF	zigor
merezi	NABSINDF	merezi
baitzuen	V	ukan
Pippenek	PROPNERGSGDEF	Pippen
.	_	.

Urtea	NABSSGDEFINAN	urte
6.300	NUM	6.300
milioi	N	milioi
pezetako	NINAN	pezeta
etekinekin	NCOMPLDEFINAN	etekin
