Son	ADJ	son
günlerinde	NESSPL	gün
kravat	NNOMSG	kravat
takardı	VSG	tak
.	_	.

Kadehler	NNOMPL	kadeh
onun	PROGENSG	o
şerefine	NDATSG	şeref
kalktı	VSG	kalk
.	_	.

Epey	ADV	epey
iş	NNOMSG	iş
yaptılar	VPL	yap
.	_	.

Memura	NDATSG	memur
ikibinüç'te	NUMESSSG	ikibinüç
Deppler	PROPNNOMSG	Deppler
geçmiş	ADJ	geçmiş
IMF	NNOMSG	Imf
enflasyona	NDATSG	enflasyon
göre	ADP	göre
zam	NNOMSG	zam
sözü	NNOMSG	söz
.	_	.

Şimdi	ADV	şimdi
adımlarını	NACCPL	adım
daha	ADV	daha
da	CONJ	da
hızlandırmıştı	VSG	hızlan
.	_	.

Korkunç	ADJ	korkunç
düşlerle	NINSPL	düş
dolu	ADJ	dolu
bir	NUM	bir
uykuya	NDATSG	uyku
sürüklenmek	VV.MSDRNOM	sürükle
üzere	ADP	üzere
ydim	VSG	i
.	_	.

Ben	PRONOMSG	ben
yavrumdan	ADJSG	yavru
nasıl	ADV	nasıl
ayrılırım	VSG	ayrıl
?	_	?
Onu	PROACCSG	o
nerelere	PRODATPL	nere
gönderirim	VSG	gönder
?	_	?
diye	ADP	diye
adamın	NGENSG	adam
ayaklarına	NDATPL	ayak
kapanmış	VSG	kapa
zavallı	ADJ	zavallı
kadın	ADJNOMSG	kadın
.	_	.

Abim	NNOMSG	abi
yiyecek	ADJNOMSG	yiyecek
bir	NUM	bir
şeyler	NNOMPL	şey
getirmiştir	VSG	getir
,	_	,
herhalde	ADV	herhalde
.	_	.

Hacim	NNOMSG	hacim
siz	ADP	siz
ve	CONJ	ve
sıkışık	ADJ	sıkışık
seanslar	NNOMPL	seans
geçiren	VV.PTCP	geçir
borsa	NNOMSG	borsa
umudunu	NACCSG	umut
seçim	NNOMSG	seçim
sonrasına	NDATSG	sonra
bağlamış	VV.PTCP	bağla
görünüyor	VSG	görün
.	_	.

Ne	PRONOMSG	ne
oluyorsun	VSG	ol
?	_	?
diye	ADP	diye
sordu	VSG	sor
.	_	.

Çoğu	ADJNOMSG	çok
,	_	,
çok	ADJ	çok
kere	NNOMSG	kere
beni	PROACCSG	ben
daha	ADV	daha
çok	ADV	çok
falan	ADJNOMSG	falan
filan	ADJ	filan
bulurlarmış	VPL	bul
.	_	.

Ben	PRONOMSG	ben
de	CONJ	de
onu	PROACCSG	o
dövdüm	VSG	döv
.	_	.

Benim	PROGENSG	ben
gibi	ADP	gibi
yüksek	ADJ	yüksek
tansiyonu	NACCSG	tansiyon
olanlar	VV.PTCPNOMPL	ol
tuzsuz	ADJ	tuzsuz
da	CONJ	da
yer	VSG	yer
.	_	.

Uy	VSG	uy
,	_	,
sevsinler	VPL	sev
seni	PROACCSG	sen
!	_	!

Oğlunuza	NDATSG	oğul
sarıldığınızda	VV.PTCPESS	sar
,	_	,
aklınızdan	NSG	akıl
,	_	,
Ya	CONJ	ya
bu	PRONOMSG	bu
ona	PRODATSG	o
son	ADJ	son
sarılışım	NNOMSG	sarılış
sa	VSG	i
gibi	ADP	gibi
aptalca	ADV	aptalca
bir	NUM	bir
düşünce	NNOMSG	düşünce
geçiyor	VSG	geç
.	_	.

Nerede	PROESSSG	nere
siniz	VPL	i
oğlum	NNOMSG	oğul
?	_	?
dedi	VSG	de
bağırarak	VV.CVB	bağır
.	_	.

Tüzmen	PROPNNOMSG	Tüzmen
,	_	,
işadamlarının	NGENPL	işadamı
"	_	"
Çinliler	ADJNOMPL	Çinli
pazarlarımızı	NACCPL	pazar
ele	NDATSG	el
geçiriyor	VSG	geçir
"	_	"
sözleri	NNOMPL	söz
üzerine	NDATSG	üzer
de	CONJ	de
,	_	,
"	_	"
Pazar	PROPNNOMSG	Pazar
herkese	NDATSG	herkes
yeter	VSG	yet
"	_	"
dedi	VSG	de
.	_	.

Acı	ADJ	acı
patlıcanı	NACCSG	patlıcan
kırağı	NNOMSG	kırağı
çalmaz	VSG	çal
.	_	.

Kara	ADJ	kara
sevda	NNOMSG	sevda
...	_	...

Masal	NNOMSG	masal
da	CONJ	da
burada	PROESSSG	bura
bitmiş	VSG	bit
.	_	.

Faranjiti	PROPNNOMSG	Faranjit
var	VSG	var
,	_	,
kötü	ADJ	kötü
öksürtüyor	VSG	öksür
,	_	,
içmesin	VSG	iç
o	PRONOMSG	o
.	_	.

Ne	PRONOMSG	ne
dedi	VSG	de
biliyor	VSG	bil
musun	VSG	mu
geçen	ADJ	geçen
gün	NNOMSG	gün
telefonda	NESSSG	telefon
.	_	.

Bağışlayın	VPL	bağışla
,	_	,
koşa	ADJ	koşa
koşa	ADJ	koşa
geldim	VSG	gel
buraya	PRODATSG	bura
.	_	.

Kerem	PROPNNOMSG	Kerem
başını	NACCSG	baş
kaldırmış	VSG	kal
,	_	,
ona	PRODATSG	o
bakıyordu	VSG	bak
.	_	.

Tazminat	NNOMSG	tazminat
almak	VV.MSDRNOM	al
amacından	NSG	amaç
öte	ADP	öte
asıl	ADJ	asıl
amaç	NNOMSG	amaç
belgelere	NDATPL	belge
ulaşmak	VV.MSDRNOM	ulaş
tı	VSG	i
.	_	.

Çocukluğunda	NESSSG	çocukluk
duygularını	NACCPL	duygu
bastırmak	VV.MSDRNOM	bas
zorunda	ADJESSSG	zor
kalmış	VSG	kal
,	_	,
uyuşturucu	ADJNOMSG	uyuşturucu
alırken	VV.CVBSG	al
duygularını	NACCPL	duygu
öldürmüş	VV.PTCP	öl
yetişkin	ADJ	yetişkin
çocuk	NNOMSG	çocuk
birdenbire	ADV	birdenbire
maddeyi	NACCSG	madde
bıraktığında	VV.PTCPESS	bırak
psikolojik	ADJ	psikolojik
bunalımlar	NNOMPL	bunalım
yaşıyor	VSG	yaşa
:	_	:
bastırılmış	VV.PTCP	bas
;	_	;
nevroz	NNOMSG	nevroz
,	_	,
depresyon	NNOMSG	depresyon
,	_	,
takıntılar	NNOMPL	takıntı
,	_	,
kleptomani	NNOMSG	kleptomani
vb	NNOMSG	vb
.	_	.

Mali	ADJ	mali
Barış	NNOMSG	barış
,	_	,
yalnızca	ADV	yalnızca
vergi	NNOMSG	vergi
borçlarını	NACCPL	borç
ve	CONJ	ve
ihtilafları	NACCPL	ihtilaf
kapsamalı	VSG	kapsa
.	_	.

Ne	CONJ	ne
ondan	PROSG	o
bahsedebildim	VSG	bahset
,	_	,
ne	CONJ	ne
yaşadıklarımdan	VV.PTCP	yaşa
...	_	...

ŞAHMERAN	NNOMSG	şahmeran
Efsanesi'nin	NGENSG	efsane
anlatıldığı	VV.PTCP	anlat
"	_	"
Melek	PROPNNOMSG	Melek
"	_	"
ad	NNOMSG	ad
lı	ADP	li
dizinin	NGENSG	dizi
başrolünde	NESSSG	başrol
oynayan	VV.PTCP	oyna
Begüm	PROPNNOMSG	Begüm
Kütük	NNOMSG	kütük
,	_	,
rolünü	NACCSG	rol
rüyasında	NESSSG	rüya
gördüğünü	VV.PTCPACC	gör
açıkladı	VSG	açıkla
.	_	.

Okumuyorlar	VPL	oku
efendim	NNOMSG	efendi
.	_	.

Bazı	DET	bazı
çocukların	NGENPL	çocuk
da	CONJ	da
bizim	PROGENPL	biz
gibi	ADP	gibi
yaşadığını	VV.PTCPACC	yaşa
unutma	VSG	unut
demişti	VSG	de
.	_	.

Arının	ADJGENSG	arı
peteği	NNOMSG	petek
,	_	,
arıdan	ADJSG	arı
arıya	ADJDATSG	arı
,	_	,
kırlangıcın	NGENSG	kırlangıç
yuvası	NNOMSG	yuva
,	_	,
kırlangıcından	NSG	kırlangıç
kırlangıcına	NDATSG	kırlangıç
değişmez	VSG	değiş
,	_	,
onlar	PRONOMPL	o
yalnızca	ADV	yalnızca
birer	NUM	bir
barınak	NNOMSG	barınak
tır	VSG	i
.	_	.

Bu	DET	bu
konuyu	NACCSG	konu
anneme	NDATSG	anne
bile	ADV	bile
açmıyorum	VSG	aç
.	_	.

Başka	ADJ	başka
güne	NDATSG	gün
alırız	VPL	al
doğum	NNOMSG	doğum
günümü	NACCSG	gün
.	_	.

Ne	PRONOMSG	ne
zaman	NNOMSG	zaman
tepem	NNOMSG	tepe
attı	VSG	at
,	_	,
kaptım	VSG	kap
bekletilen	VV.PTCP	bekle
tepsiyi	NACCSG	tepsi
masadan	NSG	masa
?	_	?

Evet	NNOMSG	evet
,	_	,
Ali	PROPNNOMSG	Ali
Babaoğlu'nun	PROPNGENSG	Babaoğlu
dediği	VV.PTCP	de
gibi	ADP	gibi
ben	PRONOMSG	ben
de	CONJ	de
bu	DET	bu
zeka	NNOMSG	zeka
pırıltılarından	NPL	pırıltı
etkilendim	VSG	etkile
.	_	.

Aslında	ADV	aslında
bu	PRONOMSG	bu
Balkan	PROPNNOMSG	Balkan
peyniri	NNOMSG	peynir
dir	VSG	i
:	_	:
Kaşkaval	NNOMSG	kaşkaval
.	_	.

Gazetecilere	NDATPL	gazeteci
uçak	NNOMSG	uçak
havada	NESSSG	hava
yanarak	VV.CVB	yan
geldi	VSG	gel
yere	NDATSG	yer
çakıl	NNOMSG	çakıl
dı	VSG	i
diyen	VV.PTCP	de
tanıklar	NNOMPL	tanık
,	_	,
