Igandean	N	igande
,	_	,
gosaldu	VV.PTCP	gosaldu
ondoren	ADV	ondoren
itzuliko	VV.PTCP	itzuli
dira	V	izan
Iruñera	PROPN	Iruñea
,	_	,
eta	CONJ	eta
Berrioplanoko	PROPN	Berrioplano
El	_	El
Toro	PROPN	Toro
hotelean	N	hotel
jarraituko	VV.PTCP	jarraitu
dute	V	*edun
kontzentrazioa	N	kontzentrazio
,	_	,
partidua	N	partidu
jokatzeko	V	jokatu
ordua	N	ordu
heldu	VV.PTCP	heldu
arte	N	arte
.	_	.

Osasun	N	osasun
publikoan	ADJ	publiko
eta	CONJ	eta
erretiroko	N	erretiro
pentsioetan	N	pentsio
ere	CONJ	ere
aurreikusita	VV.PTCP	aurreikusi
dago	V	egon
oinarrizko	ADJ	oinarrizko
erreformak	N	erreforma
egitea	V	egin
.	_	.

Kurba	N	kurba
hauei	DET	hauek
begiratzeak	V	begiratu
funtzionamendua	N	funtzionamendu
ulertzen	V	ulertu
lagunduko	VV.PTCP	lagundu
digu	V	*edun
.	_	.

Hala	ADV	hala
ondorioztatu	VV.PTCP	ondorioztatu
zuen	V	*edun
atzo	ADV	atzo
Eduardo	PROPN	Eduardo
Stein	PROPN	Stein
Guatemalako	PROPN	Guatemala
Atzerri	N	atzerri
ministro	N	ministro
ohi	ADJ	ohi
eta	CONJ	eta
OEA	N	ohe
Amerikako	PROPN	Amerika
Estatuen	N	estatu
Erakundearen	N	erakunde
Peruko	PROPN	Peru
bozetarako	N	boz
misioko	N	misio
buruzagiak	N	buruzagi
.	_	.

Negoziazio	N	negoziazio
horiek	DET	horiek
irailean	N	irail
bukatu	VV.PTCP	bukatu
beharra	N	behar
daukate	V	eduki
Estatu	N	estatu
palestinarraren	ADJ	palestinar
aldarrikapenarekin	N	aldarrikapen
.	_	.

Andra	PROPN	Andra
Mari	PROPN	Mari
Zuriaren	PROPN	Zuria
txapelketan	N	txapelketa
,	_	,
aldiz	CONJ	aldiz
,	_	,
finalerdietan	N	finalerdi
gurutzatuko	VV.PTCP	gurutzatu
dira	V	izan
,	_	,
lehenbizikoz	ADV	lehenbizikoz
.	_	.

Istiluak	N	istilu
areagotu	VV.PTCP	areagotu
egin	VV.PTCP	egin
ziren	V	izan
atzo	ADV	atzo
Israelgo	PROPN	Israel
Armadak	N	armada
eta	CONJ	eta
PANek	PROPN	PAN
hartutako	VV.PTCP	hartu
erabakia	N	erabaki
jakin	VV.PTCP	jakin
aurretik	N	aurre
.	_	.

Iñaki	PROPN	Iñaki
Rekarte	PROPN	Rekarte
presoak	N	preso
gutun	N	gutun
bat	NUM	bat
igorri	VV.PTCP	igorri
du	V	*edun
isolamenduan	N	isolamendu
jasaten	V	jasan
dituen	V	*edun
"	_	"
presio	N	presio
eta	CONJ	eta
kontrolak	N	kontrol
"	_	"
salatuz	VV.PTCP	salatu
.	_	.

Orain	ADV	orain
atseden	N	atseden
hartuko	VV.PTCP	hartu
dut	V	*edun
lesioa	N	lesio
gainditzeko	V	gainditu
helburuarekin	N	helburu
.	_	.

Epe	N	epe
honetan	DET	hau
,	_	,
behin	ADV	behin
betiko	ADV	betiko
hitzarmen	N	hitzarmen
bat	NUM	bat
sinatu	VV.PTCP	sinatu
behar	N	behar
dute	V	ukan
bi	NUM	bi
aldeek	N	alde
,	_	,
horrela	ADV	horrela
Oslon	PROPN	Oslo
hasitako	VV.PTCP	hasi
prozesua	N	prozesu
bukatzeko	V	bukatu
.	_	.

Lakerseko	PROPN	Lakers
entrenatzaile	N	entrenatzaile
Phil	PROPN	Phil
Jackson	PROPN	Jackson
haserre	ADV	haserre
agertu	VV.PTCP	agertu
zen	V	izan
,	_	,
ordea	CONJ	ordea
,	_	,
bere	DET	bera
ustez	N	uste
partidu	N	partidu
bateko	NUM	bat
zigorra	N	zigor
merezi	N	merezi
baitzuen	V	ukan
Pippenek	PROPN	Pippen
.	_	.

Urtea	N	urte
6.300	NUM	6.300
milioi	N	milioi
pezetako	N	pezeta
etekinekin	N	etekin
itxiko	VV.PTCP	itxi
du	V	*edun
Vitalek	PROPN	Vital
.	_	.

Lan	N	lan
osoaren	ADJ	oso
laburtzapena	N	laburtzapen
ere	CONJ	ere
egina	VV.PTCP	egin
du	V	ukan
autoreak	N	autore
berak	DET	bera
:	_	:

PSE-EEk	PROPN	PSE-EE
iragarri	VV.PTCP	iragarri
duen	V	*edun
helegiteak	N	helegite
"	_	"
nahasmena	N	nahasmen
"	_	"
sortzea	V	sortu
du	V	ukan
helburutzat	N	helburu
Egibarren	PROPN	Egibar
arabera	ADP	arabera
.	_	.

Hipotesi	N	hipotesi
honen	DET	hau
arabera	ADP	arabera
,	_	,
haurrak	N	haur
erabiltzen	V	erabili
hasten	V	hasi
diren	V	izan
gramatika-ezaugarri	N	gramatika+-+ezaugarri
eta	CONJ	eta
sintaxi-arau	N	sintaxi+-+arau
ezberdinak	ADJ	ezberdin
garabide	N	garabide
honek	DET	hau
zuzendurik	VV.PTCP	zuzendu
daude	V	egon
,	_	,
eta	CONJ	eta
oinarrizko	ADJ	oinarrizko
berezitasunen	N	berezitasun
garapen	N	garapen
bera	DET	bera
edo	CONJ	edo
antzerakoa	ADJ	antzerako
izan	VV.PTCP	izan
beharko	V	behar_izan
dute	V	*edun
.	_	.

"	_	"
Arropa	N	arropa
mota	N	mota
guztiak	DET	guzti
gustatzen	V	gustatu
zaizkidan	V	izan
arren	CONJ	arren
,	_	,
nahiago	N	nahi
ditut	V	ukan
soinekoak	N	soineko
"	_	"
.	_	.

"	_	"
Lortu	VV.PTCP	lortu
behar	N	behar
dugu	V	ukan
.	_	.

Hasiera	N	hasiera
batean	NUM	bat
ez	PART	ez
zegoen	V	egon
halako	ADJ	halako
goi	ADJ	goi
bilerarik	N	bilera
aurreikusita	VV.PTCP	aurreikusi
,	_	,
baina	CONJ	baina
Israelgo	PROPN	Israel
agintariak	N	agintari
posibilitate	N	posibilitate
hori	DET	hori
aipatu	VV.PTCP	aipatu
zuen	V	*edun
Norvegiako	PROPN	Norvegia
hiriburuan	N	hiriburu
.	_	.

Ile	N	ile
beltz	ADJ	beltz
ugaria	ADJ	ugari
txukun	ADJ	txukun
ebakita	VV.PTCP	ebaki
eta	CONJ	eta
orraztuta	VV.PTCP	orraztu
zeraman	V	eraman
.	_	.

ez	PART	ez
zukeen	V	*edun
golik	N	gol
sartuko	VV.PTCP	sartu
"	_	"
.	_	.

Ordu	N	ordu
berean	DET	bera
,	_	,
aitak	N	aita
,	_	,
esku	N	esku
erne	ADJ	erne
batez	NUM	bat
hartzen	V	hartu
nau	V	*edun
eta	CONJ	eta
bazterrera	N	bazter
eramaten	V	eraman
.	_	.

Jontxu	PROPN	Jontxu
ikusi	VV.PTCP	ikusi
zuenean	V	*edun
,	_	,
laster	ADV	laster
ezagutu	VV.PTCP	ezagutu
zuen	V	*edun
:	_	:

Egun	ADV	egun
,	_	,
lekutan	ADV	lekutan
dira	V	izan
Kalifornian	PROPN	Kalifornia
argia	N	argi
ikusi	VV.PTCP	ikusi
zuten	V	*edun
euskarazko	N	euskara
aldizkari	N	aldizkari
haiek	DET	haiek
:	_	:

Beraz	CONJ	beraz
,	_	,
ez	PART	ez
dauka	V	eduki
zerikusirik	N	zerikusi
zerga	N	zerga
ekologikoarekin	ADJ	ekologiko
,	_	,
horren	DET	hori
sarrerak	N	sarrera
gizartearen	N	gizarte
aldaketa	N	aldaketa
ekologikorako	ADJ	ekologiko
erabiliko	VV.PTCP	erabili
ziren	V	izan
eta	CONJ	eta
.	_	.

Zidane	PROPN	Zidane
,	_	,
Henry	PROPN	Henry
,	_	,
Barthez	PROPN	Barthez
,	_	,
Deschamps	PROPN	Deschamps
,	_	,
Blanc	PROPN	Blanc
eta	CONJ	eta
enparauek	ADJ	enparau
Eurokopako	PROPN	Eurokopa
talde	N	talde
sendoena	ADJ	sendo
osatzen	V	osatu
dute	V	*edun
aditu	N	aditu
gehienentzat	DET	gehien
.	_	.

Ordurako	ADV	ordurako
,	_	,
merke	ADV	merke
,	_	,
bapo	ADV	bapo
eta	CONJ	eta
