Son	ADJ	son
günlerinde	NESSPLPSS3S3	gün
kravat	NNOMSG3	kravat
takardı	VSGINDPSTPOS3HAB	tak
.	_	.

Kadehler	NNOMPL3	kadeh
onun	PROGENSG3	o
şerefine	NDATSGPSS3S3	şeref
kalktı	VSGINDPSTPOS3PFV	kalk
.	_	.

Epey	ADV	epey
iş	NNOMSG3	iş
yaptılar	VPLPFVPSTIND3POS	yap
.	_	.

Memura	NDATSG3	memur
ikibinüç'te	NUMESSSG3	ikibinüç
Deppler	PROPNNOMSG3	Deppler
geçmiş	ADJ	geçmiş
IMF	NNOMSG3	Imf
enflasyona	NDATSG3	enflasyon
göre	ADP	göre
zam	NNOMSG3	zam
sözü	NNOMSGPSS3S3	söz
.	_	.

Şimdi	ADV	şimdi
adımlarını	NACCPLPSS3S3	adım
daha	ADV	daha
da	CONJ	da
hızlandırmıştı	VSGPFVIND3PST+PRFCAUSPOS	hızlan
.	_	.

Korkunç	ADJ	korkunç
düşlerle	NINSPL3	düş
dolu	ADJ	dolu
bir	NUM	bir
uykuya	NDATSG3	uyku
sürüklenmek	VV.MSDRNOMPASSPFVPRSINDPOS	sürükle
üzere	ADP	üzere
ydim	VSG1PFVPSTIND	i
.	_	.

Ben	PRONOMSG1	ben
yavrumdan	ADJSGPSS1SAT+ABL3	yavru
nasıl	ADV	nasıl
ayrılırım	VSG1HABPRSINDPOS	ayrıl
?	_	?
Onu	PROACCSG3	o
nerelere	PRODATPL3	nere
gönderirim	VSG1HABPRSINDPOS	gönder
?	_	?
diye	ADP	diye
adamın	NGENSG3	adam
ayaklarına	NDATPLPSS3P3	ayak
kapanmış	VSGPASSPFVPSTNFHIND3POS	kapa
zavallı	ADJ	zavallı
kadın	ADJNOMSG3	kadın
.	_	.

Abim	NNOMSGPSS1S3	abi
yiyecek	ADJNOMSG3	yiyecek
bir	NUM	bir
şeyler	NNOMPL3	şey
getirmiştir	VSGNFHPSTPOS3PFV	getir
,	_	,
herhalde	ADV	herhalde
.	_	.

Hacim	NNOMSG3	hacim
siz	ADP	siz
ve	CONJ	ve
sıkışık	ADJ	sıkışık
seanslar	NNOMPL3	seans
geçiren	VV.PTCPPOSPRSINDPFV	geçir
borsa	NNOMSG3	borsa
umudunu	NACCSGPSS3S3	umut
seçim	NNOMSG3	seçim
sonrasına	NDATSGPSS3S3	sonra
