Занимает	VSG	занимать
площадь	NACCSG	площадь
352,658	NUMNOM	352,658
км2	NGENPL	км2
.	_	.

Удобство	NNOMSG	удобство
якорей	NDATPL	якорь
без	ADP	без
штока	NGENSG	шток
в	ADP	в
том	PROESSSG	то
,	_	,
что	CONJ	что
они	PRONOMPL	они
втягиваются	VPL	втягиваться
в	ADP	в
клюзы	NACCPL	клюз
,	_	,
не	PART	не
требуя	VV.CVB	требовать
сложных	ADJGENPL	сложный
приспособлений	NGENPL	приспособление
для	ADP	для
подъёма	NGENSG	подъем
и	CONJ	и
уборки	NGENSG	уборка
.	_	.

Он	PRONOMSG	он
утверждал	VSG	утверждать
,	_	,
что	CONJ	что
по	ADP	по
своей	DETDATSG	свой
природе	NDATSG	природа
вирус	NNOMSG	вирус
жидкий	ADJNOMSG	жидкий
.	_	.

Однако	CONJ	однако
,	_	,
продажи	NNOMPL	продажа
были	VPL	быть
не	PART	не
так	ADV	так
хороши	ADJNOMPL	хороший
и	CONJ	и
альбом	NNOMSG	альбом
не	PART	не
поднялся	VSG	подняться
в	ADP	в
чарте	NESSSG	чарт
Billboard	NESSSG	billboard
200	NUMESS	200
выше	ADV	выше
163	ADJGENSG	163
строчки	NGENSG	строчка
.	_	.

Второй	ADJNOMSG	второй
по	ADP	по
величине	NDATSG	величина
остров	NNOMSG	остров
,	_	,
Негит	PROPNNOMSG	негит
--	_	--
также	PART	также
вулканического	ADJGENSG	вулканический
происхождения	NGENSG	происхождение
,	_	,
возник	VSG	возникнуть
около	ADP	около
2000	NUMGEN	2000
лет	NGENPL	год
назад	ADV	назад
.	_	.

Последняя	ADJNOMSG	последний
версия	NNOMSG	версия
программы	NGENSG	программа
RivaTuner	PROPNGENSG	rivatuner
--	_	--
v2.	NUMNOM	v2.
24c	NUMNOM	24c
,	_	,
датируется	VSG	датироваться
23	ADJGENSG	23
августа	NGENSG	август
2009	ADJGENSG	2009
года	NGENSG	год
.	_	.

В	ADP	в
2005	ADJESSSG	2005
году	NESSSG	год
Джо	PROPNNOMSG	джо
участвовал	VSG	участвовать
в	ADP	в
качестве	NESSSG	качество
приглашённого	VV.PTCPGENSG	пригласить
музыканта	NGENSG	музыкант
в	ADP	в
альбоме	NESSSG	альбом
BlackmoreAPOSTROPHEs	PROPNGENSG	blackmore's
Night	PROPNGENSG	night
``	_	``
The	DETNOMSG	the
Village	PROPNNOMSG	village
Lanterne	PROPNNOMSG	lanterne
&#39;&#39;	_	&#39;&#39;
,	_	,
исполнив	VV.CVB	исполнить
бонус	ADV	бонус
-	_	-
трек	NACCSG	трек
Street	PROPNACCSG	street
Of	ADP	of
Dreams	PROPNGENPL	dreams
,	_	,
который	PRONOMSG	который
изначально	ADV	изначально
был	VSG	быть
написан	VV.PTCPNOMSG	написать
им	PROINSSG	он
и	CONJ	и
Блэкмором	PROPNINSSG	блэкмор
ещё	ADV	еще
во	ADP	во
времена	NACCPL	время
их	DET	их
совместного	ADJGENSG	совместный
выступления	NGENSG	выступление
в	ADP	в
Rainbow	PROPNESSSG	rainbow
.	_	.

И	CONJ	и
сама	ADJNOMSG	сам
работа	NNOMSG	работа
словно	PART	словно
сумасшедший	ADJNOMSG	сумасшедший
дом	NNOMSG	дом
!	_	!

Является	VSG	являться
крупнейшим	ADJINSSG	крупнейший
в	ADP	в
мире	NESSSG	мир
действующим	VV.PTCPINSSG	действовать
православным	ADJINSSG	православный
