Son	ADJ	son
günlerinde	N	gün
kravat	N	kravat
takardı	V	tak
.	_	.

Kadehler	N	kadeh
onun	PRO	o
şerefine	N	şeref
kalktı	V	kalk
.	_	.

Epey	ADV	epey
iş	N	iş
yaptılar	V	yap
.	_	.

Memura	N	memur
ikibinüç'te	NUM	ikibinüç
Deppler	PROPN	Deppler
geçmiş	ADJ	geçmiş
IMF	N	Imf
enflasyona	N	enflasyon
göre	ADP	göre
zam	N	zam
sözü	N	söz
.	_	.

Şimdi	ADV	şimdi
adımlarını	N	adım
daha	ADV	daha
da	CONJ	da
hızlandırmıştı	V	hızlan
.	_	.

Korkunç	ADJ	korkunç
düşlerle	N	düş
dolu	ADJ	dolu
bir	NUM	bir
uykuya	N	uyku
sürüklenmek	VV.MSDR	sürükle
üzere	ADP	üzere
ydim	V	i
.	_	.

Ben	PRO	ben
yavrumdan	ADJ	yavru
nasıl	ADV	nasıl
ayrılırım	V	ayrıl
?	_	?
Onu	PRO	o
nerelere	PRO	nere
gönderirim	V	gönder
?	_	?
diye	ADP	diye
adamın	N	adam
ayaklarına	N	ayak
kapanmış	V	kapa
zavallı	ADJ	zavallı
kadın	ADJ	kadın
.	_	.

Abim	N	abi
yiyecek	ADJ	yiyecek
bir	NUM	bir
şeyler	N	şey
getirmiştir	V	getir
,	_	,
herhalde	ADV	herhalde
.	_	.

Hacim	N	hacim
siz	ADP	siz
ve	CONJ	ve
sıkışık	ADJ	sıkışık
seanslar	N	seans
geçiren	VV.PTCP	geçir
borsa	N	borsa
umudunu	N	umut
seçim	N	seçim
sonrasına	N	sonra
bağlamış	VV.PTCP	bağla
görünüyor	V	görün
.	_	.

Ne	PRO	ne
oluyorsun	V	ol
?	_	?
diye	ADP	diye
sordu	V	sor
.	_	.

Çoğu	ADJ	çok
,	_	,
çok	ADJ	çok
kere	N	kere
beni	PRO	ben
daha	ADV	daha
çok	ADV	çok
falan	ADJ	falan
filan	ADJ	filan
bulurlarmış	V	bul
.	_	.

Ben	PRO	ben
de	CONJ	de
onu	PRO	o
dövdüm	V	döv
.	_	.

Benim	PRO	ben
gibi	ADP	gibi
yüksek	ADJ	yüksek
tansiyonu	N	tansiyon
olanlar	VV.PTCP	ol
tuzsuz	ADJ	tuzsuz
da	CONJ	da
yer	V	yer
.	_	.

Uy	V	uy
,	_	,
sevsinler	V	sev
seni	PRO	sen
!	_	!

Oğlunuza	N	oğul
sarıldığınızda	VV.PTCP	sar
,	_	,
aklınızdan	N	akıl
