Son	ADJ	son
günlerinde	NESS	gün
kravat	NNOM	kravat
takardı	V	tak
.	_	.

Kadehler	NNOM	kadeh
onun	PROGEN	o
şerefine	NDAT	şeref
kalktı	V	kalk
.	_	.

Epey	ADV	epey
iş	NNOM	iş
yaptılar	V	yap
.	_	.

Memura	NDAT	memur
ikibinüç'te	NUMESS	ikibinüç
Deppler	PROPNNOM	Deppler
geçmiş	ADJ	geçmiş
IMF	NNOM	Imf
enflasyona	NDAT	enflasyon
göre	ADP	göre
zam	NNOM	zam
sözü	NNOM	söz
.	_	.

Şimdi	ADV	şimdi
adımlarını	NACC	adım
daha	ADV	daha
da	CONJ	da
hızlandırmıştı	V	hızlan
.	_	.

Korkunç	ADJ	korkunç
düşlerle	NINS	düş
dolu	ADJ	dolu
bir	NUM	bir
uykuya	NDAT	uyku
sürüklenmek	VV.MSDRNOM	sürükle
üzere	ADP	üzere
ydim	V	i
.	_	.

Ben	PRONOM	ben
yavrumdan	ADJ	yavru
nasıl	ADV	nasıl
ayrılırım	V	ayrıl
?	_	?
Onu	PROACC	o
nerelere	PRODAT	nere
gönderirim	V	gönder
?	_	?
diye	ADP	diye
adamın	NGEN	adam
ayaklarına	NDAT	ayak
kapanmış	V	kapa
zavallı	ADJ	zavallı
kadın	ADJNOM	kadın
.	_	.

Abim	NNOM	abi
yiyecek	ADJNOM	yiyecek
bir	NUM	bir
şeyler	NNOM	şey
getirmiştir	V	getir
,	_	,
herhalde	ADV	herhalde
.	_	.

Hacim	NNOM	hacim
siz	ADP	siz
ve	CONJ	ve
sıkışık	ADJ	sıkışık
seanslar	NNOM	seans
geçiren	VV.PTCP	geçir
borsa	NNOM	borsa
umudunu	NACC	umut
seçim	NNOM	seçim
sonrasına	NDAT	sonra
bağlamış	VV.PTCP	bağla
görünüyor	V	görün
.	_	.

Ne	PRONOM	ne
oluyorsun	V	ol
?	_	?
diye	ADP	diye
sordu	V	sor
.	_	.

Çoğu	ADJNOM	çok
,	_	,
çok	ADJ	çok
kere	NNOM	kere
beni	PROACC	ben
daha	ADV	daha
çok	ADV	çok
falan	ADJNOM	falan
filan	ADJ	filan
bulurlarmış	V	bul
.	_	.

Ben	PRONOM	ben
de	CONJ	de
onu	PROACC	o
dövdüm	V	döv
.	_	.

Benim	PROGEN	ben
gibi	ADP	gibi
yüksek	ADJ	yüksek
tansiyonu	NACC	tansiyon
olanlar	VV.PTCPNOM	ol
tuzsuz	ADJ	tuzsuz
da	CONJ	da
yer	V	yer
.	_	.

Uy	V	uy
,	_	,
sevsinler	V	sev
seni	PROACC	sen
!	_	!

Oğlunuza	NDAT	oğul
sarıldığınızda	VV.PTCPESS	sar
,	_	,
aklınızdan	N	akıl
,	_	,
Ya	CONJ	ya
bu	PRONOM	bu
ona	PRODAT	o
son	ADJ	son
